country1,country2,dist,word
Germany,"Korea, South",0.9891754984855652,mouth
Germany,Philippines,0.8893868923187256,mouth
Germany,Poland,1.2640597820281982,mouth
Germany,Russia,0.4092557430267334,mouth
Germany,Saudi Arabia,0.7289839386940002,mouth
Germany,Sweden,0.5472018718719482,mouth
Germany,Thailand,1.1641349792480469,mouth
Germany,United Kingdom,1.752073049545288,mouth
Germany,United States,3.360541820526123,mouth
Hungary,Italy,0.7073850035667419,mouth
Hungary,"Korea, South",0.950575590133667,mouth
Hungary,Philippines,0.7852831482887268,mouth
Hungary,Poland,0.5941508412361145,mouth
Hungary,Russia,1.294299840927124,mouth
Hungary,Saudi Arabia,0.9757135510444641,mouth
Hungary,Sweden,1.0072187185287476,mouth
Hungary,Thailand,0.5861877799034119,mouth
Hungary,United Kingdom,3.010099411010742,mouth
Hungary,United States,4.586084842681885,mouth
Italy,"Korea, South",0.7488805055618286,mouth
Italy,Philippines,0.5872131586074829,mouth
Italy,Poland,0.6593263745307922,mouth
Italy,Russia,0.8961963653564453,mouth
Italy,Saudi Arabia,0.6756151914596558,mouth
Italy,Sweden,0.7045943737030029,mouth
Italy,Thailand,0.7695028781890869,mouth
Italy,United Kingdom,2.5382115840911865,mouth
Italy,United States,4.115992069244385,mouth
"Korea, South",Philippines,0.6225807666778564,mouth
"Korea, South",Poland,1.0437248945236206,mouth
"Korea, South",Russia,0.8807291388511658,mouth
"Korea, South",Saudi Arabia,0.6464718580245972,mouth
"Korea, South",Sweden,0.7706674933433533,mouth
"Korea, South",Thailand,0.7844786047935486,mouth
"Korea, South",United Kingdom,2.3139896392822266,mouth
"Korea, South",United States,3.8452365398406982,mouth
Philippines,Poland,0.7906730771064758,mouth
Philippines,Russia,0.7910824418067932,mouth
Philippines,Saudi Arabia,0.6436449885368347,mouth
Philippines,Sweden,0.6988469362258911,mouth
Philippines,Thailand,0.6565198302268982,mouth
Philippines,United Kingdom,2.4134442806243896,mouth
Philippines,United States,3.9834542274475098,mouth
Poland,Russia,1.2664198875427246,mouth
Poland,Saudi Arabia,1.0423767566680908,mouth
Poland,Sweden,1.059926152229309,mouth
Poland,Thailand,0.906753659248352,mouth
Poland,United Kingdom,2.9820849895477295,mouth
Poland,United States,4.581528186798096,mouth
Russia,Saudi Arabia,0.6791552901268005,mouth
Russia,Sweden,0.49568796157836914,mouth
Russia,Thailand,1.0416951179504395,mouth
Russia,United Kingdom,1.7934292554855347,mouth
Russia,United States,3.3792202472686768,mouth
Saudi Arabia,Sweden,0.49790430068969727,mouth
Saudi Arabia,Thailand,0.781217098236084,mouth
Saudi Arabia,United Kingdom,2.1453263759613037,mouth
Saudi Arabia,United States,3.696103096008301,mouth
Sweden,Thailand,0.8168241381645203,mouth
Sweden,United Kingdom,2.0774805545806885,mouth
Sweden,United States,3.655580997467041,mouth
Thailand,United Kingdom,2.6943767070770264,mouth
Thailand,United States,4.255099773406982,mouth
United Kingdom,United States,1.6170927286148071,mouth
