all_codes,country_code_2,country_code_1,log_normalized_n_events_all,log_normalized_mean_imports_dollars,centroid_dist_meters,wals_euclidean_dist,asjp_dist
AELT,AE,LT,-14.182949874271749,-24.65601749296134,4316452.719395562,68.25872295032516,NA
AELV,AE,LV,-12.646449838997269,-24.872949791511072,4350155.448260507,106.99838413284071,NA
AEMA,AE,MA,-14.390653459645359,-22.74113451389819,5797578.297647652,0,0
AEMK,AE,MK,-13.106713428292391,-26.403413545365574,3556515.6479016445,25.097341956893874,NA
AEMX,AE,MX,-16.871997397832725,-26.795202504087225,14197539.842140136,166.39748513958506,NA
AEMY,AE,MY,-16.02085783445558,-20.51931501411464,6718769.539561987,NA,NA
AENZ,AE,NZ,-14.753382041216929,-21.775046414277327,14216153.451379206,156.59282004870923,NA
AEOM,AE,OM,-13.186905133830784,-19.400622589488396,454628.91747398087,0,0
AEPH,AE,PH,-17.38765145576332,-21.67545905651397,7219383.3072926495,156.59282004870923,NA
AEPK,AE,PK,-15.770568916522798,-20.40337687312646,1719631.0836715791,39.749870088990654,NA
AEPL,AE,PL,-15.122535067194532,-23.046443724686284,4242746.795959818,63.2763644027041,NA
AEQA,AE,QA,-12.426033261676395,-20.284332995311136,324285.39183548145,0,0
AERO,AE,RO,-14.562785646212147,-22.758634161015134,3567405.7829135787,30.524406736729144,NA
AERS,AE,RS,-13.669062117368105,NA,3731637.927825259,NA,NA
AERU,AE,RU,-14.483363769661983,-23.28023787845845,5339775.801564328,152.13440792344912,NA
AESA,AE,SA,-12.645881804104807,-20.849081923828084,918260.0640738026,0,0
AESE,AE,SE,-13.728373568807692,-21.91057219904636,5140404.926535422,83.39008607952832,NA
AESG,AE,SG,-14.867575465543695,-19.41097577377084,5920886.443979389,156.59282004870923,NA
AESI,AE,SI,-15.171754390965265,-23.398406413679588,4251840.182054391,24.15097796013877,NA
AETH,AE,TH,-15.408224941808614,-19.895725805453633,4908058.902405145,138.43179218948518,NA
AETR,AE,TR,-16.181000365504214,-20.985550906642885,2458031.890196045,118.9777237575461,NA
AETW,AE,TW,-16.49635693435399,-20.812481463119305,6741409.609894137,123.05034102332374,NA
AEUA,AE,UA,-14.553655621871489,-22.04200263029702,3382189.7923446284,41.94417252588858,NA
AEUS,AE,US,-14.292719154207687,-21.792299403457218,12382959.884360356,156.59282004870923,NA
AEVN,AE,VN,-17.035671506706937,-21.87665035619024,5663119.705313064,136.84586225593128,NA
AEZA,AE,ZA,-16.10897624529118,-21.68313744522273,6714619.945801978,156.59282004870923,NA
ARAU,AR,AU,-17.314785498822893,-23.667231211687763,13169201.001919484,143.3610265111319,0.8321298029776233
ARBR,AR,BR,-13.94320031475839,-20.915935486549376,2825158.770940817,148.58768454288068,0.6058660961041276
ARCA,AR,CA,-15.406424480796495,-22.965409317086017,10867916.099099535,143.3610265111319,0.8321298029776233
ARCH,AR,CH,-16.371840490063352,-23.48821447307832,11526838.457222167,160.22523713848832,0.8289203886957297
ARCL,AR,CL,-13.705895022142007,-21.40103014429463,796511.6007234154,0,0
ARCO,AR,CO,-15.32145969083801,-23.256231442501242,4312837.5559044685,0,0
ARCZ,AR,CZ,-17.11276730435008,-23.47046932675122,12127195.237183845,NA,0.8037799768208969
ARDE,AR,DE,-15.460044454566583,-22.768363432793173,11960189.473338474,160.22523713848832,0.8289203886957297
ARDZ,AR,DZ,-17.54089130981705,-22.348457427193896,9868925.979420103,166.39748513958506,NA
AREG,AR,EG,-17.088262881074165,-23.300592343482265,11998235.083611906,166.39748513958506,NA
ARES,AR,ES,-14.96540601453188,-22.370623715962935,10286092.054284055,0,0
ARFR,AR,FR,-14.421515916663392,-22.968529632025096,11095457.530608932,NA,0.7491307836319872
ARGB,AR,GB,-13.300231588312684,-22.94111607880809,11360045.292548204,143.3610265111319,0.8321298029776233
ARGR,AR,GR,-14.812598094647697,-24.78073177939966,12008772.323113926,NA,0.839083533921726
ARID,AR,ID,-18.824229216487467,-23.403205627202883,15675698.650958577,206.9324774269126,0.8756351965766247
ARIL,AR,IL,-13.749394065211364,-23.342197684381873,12641440.43969787,165.19721308030353,NA
ARIN,AR,IN,-19.035964810630876,-23.998807681433753,15898042.767995698,152.6597149451405,0.8285637871088526
ARIQ,AR,IQ,-17.51047216572552,-25.340900863287548,13502273.589325415,166.39748513958506,NA
ARIT,AR,IT,-14.017853273426248,-22.486599457218833,11575723.462205414,145.24048083861365,0.5058393509851119
ARJO,AR,JO,-15.96629262988912,-23.955663908949802,12723046.782392943,166.39748513958506,NA
ARJP,AR,JP,-18.26022759103284,-23.41768610143589,18023383.396867324,174.24530966307245,0.8730498350717661
ARKR,AR,KR,-17.650080887023492,-22.904377315864316,18943950.151434675,165.30953271805566,0.910314700900419
ARKZ,AR,KZ,-17.24284679046277,-24.900595359179455,15794334.819829945,160.01571900764947,0.9077293393955602
ARLT,AR,LT,-15.85924544993122,-25.171041733319008,12977382.759269336,159.98652967384533,0.842471248997058
ARLV,AR,LV,-16.938284892024164,-24.50026621653035,13075365.715943899,179.95096285250608,NA
ARMX,AR,MX,-14.7328231614891,-23.00205182181231,7512825.753390903,0,0
ARNL,AR,NL,-17.223017823704136,-22.26376935198826,11755585.036909036,NA,0.8307925470268342
ARNZ,AR,NZ,-16.990858209076702,-25.145051354360746,9714449.520967843,143.3610265111319,0.8321298029776233
AROM,AR,OM,-15.867898212897215,-24.89594193688384,14115302.740010105,166.39748513958506,NA
ARPE,AR,PE,-16.508472637005358,-22.87533476103193,2938942.611978674,0,0
ARPH,AR,PH,-17.40201297198337,-23.795828280522,17622267.00064409,143.3610265111319,0.8321298029776233
ARPK,AR,PK,-18.613438210881505,-24.495597260642164,15708150.276378613,160.2820044053088,0.8003922617455648
ARPL,AR,PL,-17.529010365960424,-23.596417247513436,12555333.312504925,157.4384967574179,0.8116252117321923
ARQA,AR,QA,-16.942856514637782,-23.506479754115155,13809292.246469116,166.39748513958506,NA
ARRO,AR,RO,-16.89279572136937,-25.5237947841383,12589276.083297933,160.77267938529846,0.6571275742177052
ARRU,AR,RU,-13.363727101262743,-23.610943140429107,16917693.121072605,114.37460238137807,0.8611928323081037
ARSA,AR,SA,-16.694487108620383,-23.996814702078357,13218871.597754918,166.39748513958506,NA
ARTR,AR,TR,-17.24014899699047,-24.651810397307138,13010720.269627301,161.22674296390534,0.8764375501470981
ARTW,AR,TW,-17.324769982870315,-23.188802872912667,18823014.7824595,190.07812831305262,0.8645805473834359
ARUS,AR,US,-13.978289574604197,-23.064634401477615,8954777.924575156,143.3610265111319,0.8321298029776233
ARVN,AR,VN,-16.66173245941591,-23.350895606414984,17890502.635533094,182.38598249308777,0.882767228314166
ARZA,AR,ZA,-15.752271315430956,-22.865863122494567,8211357.4301817035,143.3610265111319,0.8321298029776233
ATAU,AT,AU,-14.318406848547996,-22.64142257332256,14392229.709835364,150.1034955562486,0.6117500222875992
ATBA,AT,BA,-13.778894848839798,-20.585232640863474,489548.5037812242,NA,0.8200053490238032
ATBE,AT,BE,-13.591843019392716,-20.206402973877708,783305.8646434498,NA,0.5153784434340732
ATBG,AT,BG,-12.817634063208923,-21.409346883161408,1033471.4621679276,100.25135732772104,0.8210751537844343
ATBH,AT,BH,-14.173401062809408,-24.070426155377252,4021209.674713404,26.158017745560464,NA
ATBR,AT,BR,-18.483305068559183,-23.21796375346588,9259646.853687864,67.16845004095326,0.8338236605152893
ATBY,AT,BY,-13.675440227566227,-22.024821033817787,1217956.5236870158,130.37005612932754,0.810555406971561
ATCA,AT,CA,-16.901206608383035,-22.229544321601942,6496382.6283984585,150.1034955562486,0.6117500222875992
ATCH,AT,CH,-14.690227822557043,-19.23440656109808,405261.7167186355,0,0
ATCZ,AT,CZ,-12.633019228169621,-18.363366386858022,295719.93371485936,NA,0.8283854863154141
ATDE,AT,DE,-12.902800381338814,-18.947548200932705,507091.80970704334,0,0
ATDZ,AT,DZ,-15.61158810751663,-21.959014000464045,2331962.573024887,26.158017745560464,NA
ATEE,AT,EE,-15.418021534477164,-22.804257430176577,1543915.7168685626,NA,0.8632432914326469
ATEG,AT,EG,-15.213743227220872,-23.434053509379588,2690845.9052090687,26.158017745560464,NA
ATES,AT,ES,-16.063493097534465,-21.294707639171794,1611689.265562352,160.22523713848832,0.8289203886957297
ATFI,AT,FI,-15.771545845789566,-21.115874338975953,2009886.2587604236,80.72117929905873,0.5778728715342782
ATFR,AT,FR,-13.530748431650785,-20.782093199569957,877586.0979745368,NA,0.8534367477935277
ATGB,AT,GB,-13.771857971182694,-21.083425626652687,1424932.8714307158,150.1034955562486,0.6117500222875992
ATGR,AT,GR,-11.827077665825106,-21.713526348292522,1162792.5796185392,NA,0.8625300882588928
ATHR,AT,HR,-12.263305868399813,-19.642248821009115,293216.4079352873,NA,0.8200053490238032
ATHU,AT,HU,-12.036205446611785,-19.3969621918635,505757.17778564815,169.5971123368889,0.8875813497370063
ATID,AT,ID,-17.091368516247055,-23.750444328290218,11681306.84946956,138.87528931623697,0.8983685477400374
ATIE,AT,IE,-15.72932946156317,-21.63187043181486,1638955.2856039815,150.1034955562486,0.6117500222875992
ATIL,AT,IL,-14.840049472170753,-22.19057762958274,2533229.0893276813,101.87597425797114,NA
ATIN,AT,IN,-18.182075408889702,-24.07154260776689,6425817.071518934,121.04028125031165,0.8378354283676562
ATIQ,AT,IQ,-14.642351721055286,-22.37509432758436,3028376.720386816,26.158017745560464,NA
ATIT,AT,IT,-14.242775019810539,-19.88824601545579,502473.77024181036,105.33957286180707,0.769902826067576
ATJO,AT,JO,-13.927833618752775,-23.740158007386494,2652364.4524464663,26.158017745560464,NA
ATKH,AT,KH,-15.622745741528094,-25.568672718525853,9082902.7822458,89.44574491044715,0.8711776767406615
ATKR,AT,KR,-16.485871802841007,-22.174382605731193,8597896.890443478,135.20870887329363,0.9332263528572703
ATKW,AT,KW,-14.867562544471713,-22.965704358529564,3554436.073607283,26.158017745560464,NA
ATKZ,AT,KZ,-14.332169335759493,-20.712480517209595,4010834.748073441,25.342422092968192,0.8846393866452706
ATLT,AT,LT,-14.652756610635421,-22.329782924717907,1210869.5229153032,62.66510596697005,0.8323972541677811
ATLV,AT,LV,-12.849077654620572,-22.630862645550646,1334976.2548967428,104.142004289147,NA
ATMK,AT,MK,-11.95738504362105,-22.08271567350162,919322.2531986114,11.360185653732751,0.7929036284211465
ATNL,AT,NL,-15.449190405839298,-20.143666115414256,790543.3894086829,NA,0.5153784434340732
ATNO,AT,NO,-15.75232511006302,-21.66589418221838,1646191.455534113,55.2410714909589,0.677543015066417
ATPH,AT,PH,-17.819783848307853,-23.50758012574541,10311920.628332807,150.1034955562486,0.6117500222875992
ATPK,AT,PK,-16.849267623111576,-23.887609691821602,5160290.527664722,34.03496717388132,0.838102879557814
ATPL,AT,PL,-15.591050426931377,-20.765930812430405,706950.6889366892,59.552392496756084,0.8603013283409111
ATRO,AT,RO,-14.925125428955269,-20.809162529237437,902624.0188464422,20.134196413550395,0.786039047873763
ATRS,AT,RS,-13.081689351734124,NA,701936.9783844529,NA,0.8200053490238032
ATRU,AT,RU,-13.453484409392477,-21.79715202572697,5450930.948780789,145.1532214353731,0.8254435232236783
ATSA,AT,SA,-13.855221974878594,-22.654790635812095,3733201.5839480953,26.158017745560464,NA
ATSE,AT,SE,-13.787065923228587,-20.565503253019042,1636073.2289421102,80.72117929905873,0.5778728715342782
ATSI,AT,SI,-12.229729261999548,-18.72254027248184,184564.02608329713,10.048490232166595,0.800124810555407
ATSK,AT,SK,-12.965927654510121,-18.54253759177663,482560.51329021493,NA,0.8339128109120086
ATTR,AT,TR,-14.059647490829283,-21.834867258674755,1969370.596765151,116.94910755988381,0.8769724525274137
ATTW,AT,TW,-16.590617232499827,-22.136394216793747,9308153.728538832,123.89013320546847,0.9194971917625033
ATUA,AT,UA,-13.875570709909328,-20.72187111172753,1394678.6684372183,35.47989623890871,0.8416688954265846
ATUS,AT,US,-13.917614005330593,-22.565987446699694,8230481.042202774,150.1034955562486,0.6117500222875992
ATVN,AT,VN,-17.064084835516617,-22.73211530909019,9034776.234559737,135.80912206980526,0.8467504680395828
ATZA,AT,ZA,-16.15637221662152,-22.226187822788766,8701939.362395316,150.1034955562486,0.6117500222875992
AUBE,AU,BE,-14.348341880481435,-21.640012906639836,14992917.632273003,NA,0.5849157528751002
AUBH,AU,BH,-16.304476748322678,-22.496612785912966,10703737.760017518,156.59282004870923,NA
AUBR,AU,BR,-18.547361085378476,-23.248797661251935,15992993.250886671,142.1286442918744,0.8577159668360523
AUBY,AU,BY,-16.598689969103052,-25.755169461520758,13336164.551999165,194.1888537781997,0.8062761879290362
AUCA,AU,CA,-14.11217858897445,-21.784036716232258,14541710.924190732,0,0
AUCH,AU,CH,-13.238054335282206,-21.899180839791136,14797362.078936048,150.1034955562486,0.6117500222875992
AUCL,AU,CL,-15.431409403546606,-23.13586998759203,13315274.450769745,143.3610265111319,0.8321298029776233
AUCO,AU,CO,-16.264901451650505,-25.83900142287218,16321657.379332969,143.3610265111319,0.8321298029776233
AUCZ,AU,CZ,-15.021357285399047,-22.500912505425376,14246370.713373277,NA,0.8008380137291611
AUDE,AU,DE,-14.001752926074008,-21.44367243729526,14534386.265388748,150.1034955562486,0.6117500222875992
AUDK,AU,DK,-14.856935620612662,-22.513089770919073,14457125.471178694,208.1559704949568,0.5957921012748506
AUDZ,AU,DZ,-17.25421532690045,-24.11314085003261,15274260.34311812,156.59282004870923,NA
AUEE,AU,EE,-15.607954542858016,-26.04019377325385,13463604.410844943,NA,0.9048765267005437
AUEG,AU,EG,-14.264506416766938,-23.254185513307927,12649505.526675351,156.59282004870923,NA
AUES,AU,ES,-15.511791407561788,-22.466174355953463,15886913.161573766,143.3610265111319,0.8321298029776233
AUFR,AU,FR,-12.712854192247956,-21.816589314230416,15269701.68580345,NA,0.8161718819648747
AUGB,AU,GB,-12.696072796364929,-20.81936557297003,15369769.582945516,0,0
AUGR,AU,GR,-14.929956138913871,-23.999470052263668,13665929.856382502,NA,0.85557635731479
AUHK,AU,HK,-14.728198808688287,NA,NA,0,0
AUHR,AU,HR,-14.554361018623526,-24.663673309066446,14238349.196714062,NA,0.7687438709102256
AUHU,AU,HU,-16.608163974873268,-23.90056027029756,13889491.421299927,196.02334345368018,0.8892752072746724
AUID,AU,ID,-12.480726478453377,-21.156615804497502,2743169.6023220522,178.79355121436967,0.8754568957831862
AUIE,AU,IE,-13.70090742476441,-22.09271394365806,15655379.049808748,0,0
AUIL,AU,IL,-14.845140624439377,-22.56834321906728,12356163.881028369,155.84136779784353,NA
AUIN,AU,IN,-15.37106650094768,-22.039638577040748,8030119.185420095,142.65460625566817,0.8573593652491753
AUIQ,AU,IQ,-11.833591794663835,-23.408729410681325,11587207.211329458,156.59282004870923,NA
AUIT,AU,IT,-14.642599415213967,-21.55434318982784,14458004.433030665,130.6380977293918,0.8045823303913703
AUJO,AU,JO,-14.35487757338125,-24.265270110017894,12225956.942682061,156.59282004870923,NA
AUJP,AU,JP,-13.071375286228683,-19.930319819463296,6797814.447949647,158.12058072706304,0.8913256663992155
AUKH,AU,KH,-12.840150504583546,-25.233501083940812,5338442.016648092,171.81279788157724,0.8977444949630026
AUKR,AU,KR,-13.002720418718507,-20.0280503148622,6946456.875312087,151.05295046335434,0.8822323259338504
AUKW,AU,KW,-14.111299731516567,-22.078649323865715,11110022.115368681,156.59282004870923,NA
AULT,AU,LT,-15.450048687711531,-25.98746275076168,13596545.72079226,156.59440164317573,0.8518320406525809
AULV,AU,LV,-14.38478239219455,NA,13531032.52897341,147.3391846908438,NA
AUMX,AU,MX,-15.79297351851567,-23.012639518279695,14280031.832352873,143.3610265111319,0.8321298029776233
AUMY,AU,MY,-13.258187929051335,-20.179439712287945,3907999.522136072,NA,NA
AUNL,AU,NL,-13.584811485449805,-21.760129736820325,14826163.87952234,NA,0.5849157528751002
AUNO,AU,NO,-16.453091905997287,-23.197000400379327,14261343.883243727,151.996245195928,0.6033698849959883
AUNZ,AU,NZ,-11.289392389271834,-19.998443534942062,4037876.903303548,0,0
AUOM,AU,OM,-16.381918466607317,-22.84522292203213,9862706.58718953,156.59282004870923,NA
AUPE,AU,PE,-17.096346827334493,-24.555042799157967,14890352.759284766,143.3610265111319,0.8321298029776233
AUPH,AU,PH,-13.397327067278047,-21.987756885209066,4459393.453476857,0,0
AUPK,AU,PK,-15.998576984465766,-22.97498399515449,9248972.791564014,152.64404428355306,0.848176874387091
AUPL,AU,PL,-17.23835858051535,-23.720641899401144,13878129.486053169,149.72593886723124,0.8471070696264598
AUPT,AU,PT,-15.53757223468788,-24.112048033786284,16233185.048005568,142.1286442918744,0.8577159668360523
AUQA,AU,QA,-15.422779359577536,-22.405961448240294,10612052.642821962,156.59282004870923,NA
AURS,AU,RS,-14.816403366794217,NA,13800167.93810345,NA,0.7687438709102256
AURU,AU,RU,-14.578709364484313,-23.535247333498422,9985563.5521149,118.52280309371879,0.7918338236605152
AUSA,AU,SA,-13.547895090639237,-22.12868187376647,11164074.229802266,156.59282004870923,NA
AUSE,AU,SE,-12.328555422549929,-21.716100705792627,14011347.515209863,139.79488230792103,0.5828652937505572
AUSG,AU,SG,-12.375304952297995,-19.606143692116657,4463894.993735214,0,0
AUTH,AU,TH,-13.880718917210201,-20.803407792844265,5852598.035863764,196.374499309317,0.8666310065079789
AUTR,AU,TR,-13.613788744048403,-23.40879740387679,12571089.448678102,169.3507760323158,0.905233128287421
AUTW,AU,TW,-15.450532609580028,-20.415234681029258,5659670.947965838,184.7160336687225,0.9096906481233842
AUUA,AU,UA,-14.764796823511418,-23.405531988033367,13015203.306640223,148.8808647331636,0.8524560934296158
AUUS,AU,US,-13.017932848023348,-21.555622729726906,14822193.890350845,0,0
AUVN,AU,VN,-13.26533156002917,-21.44243800683936,5448646.098545735,188.3424006882271,0.9254702683426941
AUZA,AU,ZA,-15.207402080970935,-22.04138414978136,10300916.850212919,0,0
BABE,BA,BE,-14.744456079156675,-22.89334481609106,1268614.4443735094,NA,0.8457698136756708
BABG,BA,BG,-13.653348849723262,-22.07837620283874,593808.618516013,NA,0.42034412053133635
BABY,BA,BY,-15.72184377042627,-24.741109985080264,1225660.777011767,NA,0.4916644379067487
BACH,BA,CH,-12.610611074403733,-22.89884735162373,823750.2526500169,NA,0.8200053490238032
BACZ,BA,CZ,-15.104184992617554,-21.662752943054254,648819.0385896562,NA,0.3897655344566283
BADE,BA,DE,-14.758371966291513,-22.14441470645628,974210.5053930035,NA,0.8200053490238032
BADK,BA,DK,-15.368225514673954,-23.34264538197209,1420320.274812126,NA,0.8113577605420345
BAEE,BA,EE,-14.064804195822868,NA,1733209.6065952384,NA,0.8633324418293662
BAEG,BA,EG,-16.549384991296368,-25.120167581729017,2207819.322389249,NA,NA
BAES,BA,ES,-17.07386069844132,-24.07158622934618,1857528.7454580974,NA,0.8178657395025407
BAFR,BA,FR,-16.278240061014873,-23.99359503694512,1256598.8793449842,NA,0.80770259427654445
BAGB,BA,GB,-15.201147011533976,-24.894607240606227,1913035.2099011648,NA,0.7687438709102256
BAHR,BA,HR,-11.51676135155342,-18.282030625850286,210914.31411364413,0,0
BAHU,BA,HU,-15.744463165767968,-20.569413847513818,349489.2464088449,NA,0.8546848533475975
BAIL,BA,IL,-15.600276378543276,-25.54581201466115,2047497.9467165857,NA,NA
BAIN,BA,IN,-20.257702446434042,-27.793070633173393,6043773.314289886,NA,0.8084157974502987
BAIQ,BA,IQ,-15.73544881459483,NA,2581267.927977763,NA,NA
BAIT,BA,IT,-15.2283582232942,-21.64211985933644,433096.4717331481,NA,0.7955781403227243
BAJO,BA,JO,-14.912840274488255,-26.264150150390172,2168196.0771803665,NA,NA
BAJP,BA,JP,-17.9959312363448,-27.583299938340684,9258325.018113775,NA,0.9252919675492557
BAKW,BA,KW,-14.612355222110459,NA,3102972.972673528,NA,NA
BALV,BA,LV,-13.184699474986699,NA,1504873.9661060583,NA,NA
BAMK,BA,MK,-12.710724249197698,-20.545238874254963,432671.9473192068,NA,0.341267718641348
BANL,BA,NL,-14.905272319820595,-22.772303312391376,1278077.6760728199,NA,0.8457698136756708
BANO,BA,NO,-15.32785854779096,-24.635460640697787,2040549.078144361,NA,0.8381920299545332
BANZ,BA,NZ,-15.23927506242228,NA,18091936.40437312,NA,0.7687438709102256
BAPE,BA,PE,-16.657860098411096,NA,11097524.80105692,NA,0.8178657395025407
BAPH,BA,PH,-17.77504129607419,NA,10107083.029499216,NA,0.7687438709102256
BAPL,BA,PL,-16.177054038317983,-22.949464989306442,877512.1137413057,NA,0.49211018989034505
BAPT,BA,PT,-14.893400548568657,-25.005301012570197,2195650.911607517,NA,0.8422037978069002
BARO,BA,RO,-15.263738683599227,-22.31854055827518,595390.2312842415,NA,0.7977177498439868
BARS,BA,RS,-10.736745256014322,NA,254550.40555602085,0,0
BARU,BA,RU,-15.087535104224374,-23.60228888472063,5479473.563700094,NA,0.5659267183738967
BASE,BA,SE,-14.821179071349645,-23.21250655687612,1984503.4344968386,NA,0.8011054649193189
BASI,BA,SI,-14.195737683961807,-18.484754494219874,305323.0986889006,NA,0.25283052509583664
BASK,BA,SK,-13.40776592514125,-21.83001574571618,507967.00343001436,NA,0.3647142729785147
BATR,BA,TR,-15.102240664390296,-22.831346221675563,1529824.147624851,NA,0.8801818668093073
BAUS,BA,US,-16.134325478768346,-26.36146566204964,8719991.535125189,NA,0.7687438709102256
BEBG,BE,BG,-12.996198850693244,-21.75375053453756,1810327.3418553753,NA,0.8184897922795756
BEBR,BE,BR,-17.802565824331058,-22.503661720833474,8827331.054575933,NA,0.85557635731479
BEBY,BE,BY,-15.246475275153003,-21.784403616902818,1657464.2772013943,NA,0.823303913702416
BECA,BE,CA,-16.267028649472977,-21.540098114396628,5780983.459696188,NA,0.5849157528751002
BECH,BE,CH,-15.173703908248202,-20.289952578566837,517243.57836183644,NA,0.5153784434340732
BECO,BE,CO,-16.267561677770615,-23.145969743468186,8692101.346899863,NA,0.8307925470268342
BECZ,BE,CZ,-15.518840144599167,-19.150825610329907,790792.6714623559,NA,0.8461264152625478
BEDE,BE,DE,-13.982527354950015,-19.140890617213596,459593.16382618586,NA,0.5153784434340732
BEDK,BE,DK,-15.950000970517664,-20.76696417074094,698909.5212347463,NA,0.6839618436302042
BEDZ,BE,DZ,-14.972119292327378,-20.77864034625015,2543190.6225712243,NA,NA
BEEE,BE,EE,-13.709307862375638,-22.03944061083196,1663692.7210072696,NA,0.8672550592850138
BEEG,BE,EG,-17.725645472069274,-22.554636467489345,3443407.6554969735,NA,NA
BEES,BE,ES,-15.010612583011493,-20.555976816564808,1356475.9988723886,NA,0.8307925470268342
BEFI,BE,FI,-13.997885387148754,-20.415695640648252,1951601.7640960948,NA,0.6053311937238122
BEFR,BE,FR,-12.857444727161191,-19.075192831296828,557909.6528114681,NA,0.8549523045377553
BEGB,BE,GB,-13.933786937909666,-19.738894820499073,646942.2649891688,NA,0.5849157528751002
BEGR,BE,GR,-11.251588575011793,-21.43985148256057,1926586.4431890042,NA,0.8822323259338504
BEHK,BE,HK,-16.038244704064176,NA,NA,NA,0.5849157528751002
BEHR,BE,HR,-14.176917189790776,-21.552216607355984,1061846.593795227,NA,0.8457698136756708
BEHU,BE,HU,-13.436538831904942,-20.88944672338973,1242777.9939100705,NA,0.8854417402157438
BEIE,BE,IE,-15.502913821860828,-19.13699047020881,857353.8487555668,NA,0.5849157528751002
BEIL,BE,IL,-14.14034838677655,-19.628538585631897,3315624.6578286667,NA,NA
BEIN,BE,IN,-17.660934298751123,-21.72722603767441,7122171.166846012,NA,0.8291878398858875
BEIQ,BE,IQ,-14.228864095439269,-22.858817536723183,3796358.3559877626,NA,NA
BEIT,BE,IT,-14.444858677252133,-20.104439280401927,1114410.2195054397,NA,0.7955781403227243
BEJO,BE,JO,-14.010333695417417,-23.083405892883388,3435339.630797339,NA,NA
BEJP,BE,JP,-15.161009197366925,-21.830044610332042,9374898.064626444,NA,0.8754568957831862
BEKH,BE,KH,-16.419411694490567,-23.938531719586397,9655098.289110504,NA,0.880092716412588
BEKR,BE,KR,-15.971237797046246,-21.89871804554012,8811207.351248858,NA,0.9221717036640813
BEKW,BE,KW,-15.076277622334214,-22.275693745518765,4324020.284379226,NA,NA
BEKZ,BE,KZ,-16.506112587861974,-22.24450887200218,4498388.197245952,NA,0.8677899616653294
BELT,BE,LT,-12.206664442214953,-21.364003874496632,1439538.1908817173,NA,0.8379245787643754
BELV,BE,LV,-12.141397251176127,-22.341167180820197,1529987.996265612,NA,NA
BEMA,BE,MA,-14.781076983178318,-21.8434210708963,2223128.506731373,NA,NA
BEMK,BE,MK,-14.21503121798341,-22.528008378522745,1700793.0527864269,NA,0.8148346260140858
BEMX,BE,MX,-17.320022228188805,-22.893178710484285,9105534.359862415,NA,0.8307925470268342
BEMY,BE,MY,-15.757551827786806,-21.611242455964632,11084993.200152582,NA,NA
