t;id;i;iso3;country;Out-degree;In-degree;Out-strength;In-strength;Out-degree_percent;In-degree percent;Out-strength-percent;In-strength_percent;Out-closenness;In-closenness;W-Out-closenness;W-In-closenness;Out-eigenvector;In-eigenvector;W-Out-eigenvector;W-In-eigenvector
2009;4;8;ALB;Albania;0.6440678;0.7570621;21351.84;27762.81;0.534659;0.6284589;0.0316129;0.0411048;0.7375;0.8045455;0.7845389;0.4005366;0.072575;0.0812329;0.0005052;0.0012572
2008;4;8;ALB;Albania;0.6045198;0.7344633;13032.43;30334.53;0.483747;0.58773;0.014698;0.0342115;0.7165992;0.7901786;0.4987445;0.3398446;0.0665506;0.0774853;0.0003933;0.0011093
2007;4;8;ALB;Albania;0.6271186;0.7118644;6845.41;24469.3;0.5044996;0.5726752;0.0090231;0.0322535;0.728395;0.7763158;0.4871849;0.3437534;0.068423;0.0754922;0.0003159;0.0009254
2006;4;8;ALB;Albania;0.6158192;0.7062147;5059.546;17815.04;0.5024199;0.5761696;0.0076672;0.0269967;0.722449;0.7729257;0.4531819;0.3739335;0.0686379;0.0753195;0.0002457;0.0006842
2005;4;8;ALB;Albania;0.5819209;0.6779661;4203.398;15650.56;0.47413;0.5523844;0.0073231;0.0272661;0.7051793;0.7564102;0.4555053;0.4044339;0.064761;0.0734062;0.0002455;0.0006715
2004;4;8;ALB;Albania;0.5819209;0.6892655;3660.259;13445.02;0.485414;0.5749564;0.007197;0.0264363;0.7051793;0.762931;0.4315814;0.4100543;0.066609;0.075124;0.0002363;0.0006722
2003;4;8;ALB;Albania;0.5706215;0.6327683;3074.741;11093.37;0.477722;0.5297512;0.0074066;0.0267223;0.6996047;0.731405;0.4460708;0.3760907;0.0656124;0.0692085;0.0002273;0.0005973
2002;4;8;ALB;Albania;0.5310735;0.5875706;2415.978;8982.476;0.4512939;0.4993039;0.006775;0.0251891;0.6807692;0.708;0.4181256;0.3653794;0.0622501;0.0677322;0.0001977;0.0004994
2001;4;8;ALB;Albania;0.480226;0.5480226;2358.018;8014.35;0.4132834;0.4716293;0.0068684;0.0233442;0.6579925;0.6887159;0.3747189;0.3237697;0.0585729;0.064503;0.0001682;0.0004173
2000;4;8;ALB;Albania;0.480226;0.5367231;1899.007;6568.236;0.4212717;0.4708331;0.005362;0.0185461;0.6579925;0.6833977;0.3074315;0.3256317;0.0591364;0.0639166;0.0001204;0.0003093
1999;4;8;ALB;Albania;0.4180791;0.5367231;1957.913;7077.359;0.3805997;0.4886077;0.0062297;0.0225187;0.6321428;0.6833977;0.3712058;0.3481654;0.0543898;0.0657301;0.0001652;0.0004656
1998;4;8;ALB;Albania;0.3841808;0.5141243;1848.785;5189.542;0.3554812;0.4757175;0.0060995;0.0171213;0.6188811;0.6730038;0.3435309;0.3328884;0.0516831;0.0652894;0.0001939;0.0003771
1997;4;8;ALB;Albania;0.3785311;0.4463277;1697.833;4251.08;0.358059;0.422189;0.0055546;0.0139077;0.6167247;0.6436363;0.3017854;0.3100271;0.0520914;0.0590878;0.0001587;0.0002645
1996;4;8;ALB;Albania;0.3898305;0.480226;2155.842;6437.515;0.3862949;0.4758706;0.0073204;0.0218594;0.6210526;0.6579925;0.3459569;0.3294864;0.0555081;0.0645157;0.0002332;0.0005477
1995;4;8;ALB;Albania;0.3446328;0.3050847;1297.797;4724.673;0.3639618;0.3221957;0.004659;0.0169611;0.6040956;0.59;0.2324098;0.281228;0.0527575;0.0484501;0.0001576;0.0003848
2010;5;530;ANT;Netherlands antilles;0.480226;0.4576271;14672.48;31309.99;0.3905173;0.37214;0.017726;0.0378261;0.6579925;0.6483517;0.5684643;0.3435071;0.0534607;0.0521202;0.0007765;0.0036504
2009;5;530;ANT;Netherlands antilles;0.4632768;0.480226;16165.02;25274.73;0.3845793;0.3986493;0.0239335;0.0374211;0.6507353;0.6579925;0.5599927;0.4367659;0.0534825;0.0563563;0.0005554;0.0033467
2008;5;530;ANT;Netherlands antilles;0.6271186;0.6892655;17738.27;108073.7;0.501831;0.551562;0.0200053;0.1218861;0.728395;0.762931;0.4430945;0.3950271;0.0663562;0.0711432;0.0006762;0.0038489
2007;5;530;ANT;Netherlands antilles;0.5310735;0.4632768;19876.57;26701.99;0.4272339;0.3726934;0.0261998;0.0351965;0.6807692;0.6507353;0.468437;0.3733388;0.0577683;0.0519778;0.0008908;0.0030339
2006;5;530;ANT;Netherlands antilles;0.5028248;0.4971751;18896.63;41111.43;0.4102328;0.4056234;0.0286358;0.0622998;0.6679245;0.6654136;0.5417447;0.4416146;0.0558142;0.0562852;0.0012132;0.0028006
2005;5;530;ANT;Netherlands antilles;0.5480226;0.4858757;15192.63;29349.67;0.4465108;0.3958755;0.0264683;0.0511324;0.6887159;0.6604478;0.5476497;0.4768302;0.0595411;0.0551514;0.0010104;0.0022754
2004;5;530;ANT;Netherlands antilles;0.4180791;0.440678;6778.865;10492.33;0.3487441;0.3675951;0.013329;0.0206306;0.6321428;0.6413044;0.3579619;0.4219066;0.0479838;0.0513842;0.0004996;0.0018036
2003;5;530;ANT;Netherlands antilles;0.4745763;0.4463277;6793.348;35226.56;0.3973134;0.3736638;0.0163642;0.0848555;0.6555555;0.6436363;0.4974629;0.4318918;0.053707;0.0520579;0.0008461;0.0023502
2002;5;530;ANT;Netherlands antilles;0.4576271;0.4293785;6489.721;20844.94;0.3888809;0.3648759;0.0181988;0.0584545;0.6483517;0.6366907;0.4036101;0.4118578;0.0528878;0.0511711;0.0006014;0.0027113
2001;5;530;ANT;Netherlands antilles;0.4350283;0.4576271;8261.903;25128.56;0.3743862;0.3938348;0.0240652;0.0731943;0.6389892;0.6483517;0.4421424;0.3791417;0.0508855;0.0550738;0.0008923;0.0032132
2000;5;530;ANT;Netherlands antilles;0.4293785;0.4293785;9527.646;24357.93;0.3766665;0.3766665;0.0269023;0.0687772;0.6366907;0.6366907;0.4622226;0.4011171;0.0510816;0.0527633;0.0012473;0.0027396
1999;5;530;ANT;Netherlands antilles;0.440678;0.4293785;5668.45;20081.24;0.4011726;0.3908862;0.0180358;0.0638943;0.6413044;0.6366907;0.438378;0.4226101;0.054516;0.0548427;0.0007742;0.0023973
1998;5;530;ANT;Netherlands antilles;0.4067796;0.3728814;4365.208;16620.94;0.3763919;0.3450259;0.0144017;0.0548357;0.6276596;0.6145833;0.3785985;0.3966161;0.0530679;0.0498472;0.0006408;0.0025391
1997;5;530;ANT;Netherlands antilles;0.4237288;0.4124294;6844.938;16870.21;0.4008123;0.390124;0.0223937;0.0551922;0.6344086;0.6298932;0.526037;0.3952022;0.0558437;0.0540595;0.0012804;0.0020244
1996;5;530;ANT;Netherlands antilles;0.4067796;0.3898305;8069.655;18929.83;0.4030904;0.3862949;0.0274016;0.0642787;0.6276596;0.6210526;0.5357631;0.3815893;0.0554692;0.0536753;0.0016639;0.0022298
1995;5;530;ANT;Netherlands antilles;0.3785311;0.3446328;6338.452;14211.8;0.3997613;0.3639618;0.0227544;0.051019;0.6167247;0.6040956;0.3355719;0.3341399;0.0545362;0.0521238;0.0009379;0.0019521
2010;6;784;ARE;United arab emirates;0.7175141;0.6666667;767203.6;819010.3;0.5834788;0.5421299;0.9268702;0.9894586;0.7797357;0.75;0.9649006;0.3701438;0.0773736;0.0737474;0.0357353;0.0478891
2009;6;784;ARE;United arab emirates;0.6723164;0.6497175;491450.9;732590.3;0.558109;0.539349;0.7276285;1.084653;0.7531915;0.7405857;0.9552137;0.4892081;0.0751671;0.073996;0.029972;0.0532784
2008;6;784;ARE;United arab emirates;0.9491525;0.9265537;1181041;948599.5;0.759528;0.741444;1.331984;1.069836;0.9516129;0.9315789;0.8766171;0.4050934;0.0927745;0.0921394;0.0588741;0.0519237
2007;6;784;ARE;United arab emirates;0.9322034;0.8983051;788635;694503.6;0.7499318;0.7226616;1.039518;0.9154407;0.9365079;0.9076923;0.8460793;0.4127677;0.0919839;0.0908874;0.0427612;0.040718
2006;6;784;ARE;United arab emirates;0.7344633;0.7062147;504701.4;610841.2;0.5992164;0.5761696;0.7648191;0.9256623;0.7901786;0.7729257;0.7789559;0.4788907;0.0790731;0.0773694;0.0353419;0.0426263
2005;6;784;ARE;United arab emirates;0.9491525;0.8926554;563198.8;455965.2;0.7733382;0.7273062;0.9811939;0.7943736;0.9516129;0.9030612;0.8247545;0.5196685;0.093811;0.0908015;0.0402288;0.0328461
2004;6;784;ARE;United arab emirates;0.740113;0.700565;324832;357451.5;0.6173712;0.5843819;0.6387022;0.7028403;0.793722;0.7695652;0.7126198;0.5170652;0.0811493;0.077891;0.0261172;0.0273724
2003;6;784;ARE;United arab emirates;0.7457627;0.7231638;234332;301153.5;0.6243496;0.6054299;0.5644706;0.7254335;0.7972973;0.7831858;0.7739081;0.4570353;0.081125;0.0800939;0.022976;0.0253265
2002;6;784;ARE;United arab emirates;0.7514125;0.6553673;167820.5;227035.5;0.6385328;0.5569159;0.4706112;0.636665;0.800905;0.7436975;0.7242238;0.4459531;0.0826049;0.0743393;0.0193783;0.0220857
2001;6;784;ARE;United arab emirates;0.740113;0.6610169;172299.3;196931.2;0.6369427;0.5688725;0.5018724;0.5736201;0.793722;0.7468355;0.6672296;0.3979438;0.0824154;0.0759397;0.0207482;0.0180544
2000;6;784;ARE;United arab emirates;0.700565;0.6497175;176918.8;174458.6;0.6145611;0.5699559;0.4995488;0.4926021;0.7695652;0.7405857;0.6048247;0.4187919;0.0802607;0.076201;0.0228106;0.0146213
1999;6;784;ARE;United arab emirates;0.6666667;0.6214689;119457;156761.8;0.6069022;0.5657563;0.3800873;0.4987833;0.75;0.7254099;0.7733251;0.4497029;0.0790903;0.0758407;0.0154107;0.0172858
1998;6;784;ARE;United arab emirates;0.6384181;0.5706215;106572.4;155023.8;0.5907261;0.5279942;0.3516034;0.5114537;0.7344398;0.6996047;0.7361488;0.4317745;0.0785467;0.0723041;0.0150511;0.0181756
1997;6;784;ARE;United arab emirates;0.59887;0.5649717;130929.6;143381.5;0.5664814;0.5344164;0.4283463;0.4690836;0.7137097;0.6968504;0.7575873;0.4284154;0.0759997;0.0728763;0.0217896;0.018763
1996;6;784;ARE;United arab emirates;0.5875706;0.5367231;115675.8;135883.5;0.5822417;0.5318553;0.392792;0.4614099;0.708;0.6833977;0.7270458;0.4094922;0.0772881;0.0731673;0.0214131;0.0195611
1995;6;784;ARE;United arab emirates;0.480226;0.4519774;97012.17;127153.9;0.5071599;0.477327;0.3482643;0.45647;0.6579925;0.6459854;0.5675805;0.3618957;0.069978;0.0668976;0.0208787;0.0185597
2010;7;32;ARG;Argentina;0.9548023;0.8079096;390730.2;311252.6;0.7764403;0.656988;0.472047;0.376029;0.9567568;0.8388625;0.9302523;0.3664338;0.0937084;0.0831935;0.0170509;0.0194381
2009;7;32;ARG;Argentina;0.9378531;0.7909604;319492.8;223031.6;0.7785386;0.6565988;0.4730322;0.3302144;0.9414893;0.8271028;0.9169033;0.4797359;0.0941347;0.0834725;0.0160927;0.0177587
2008;7;32;ARG;Argentina;0.9378531;0.7909604;405310.7;310140;0.750486;0.63294;0.4571116;0.3497777;0.9414893;0.8271028;0.8307458;0.401175;0.0919699;0.0811413;0.017878;0.0185568
2007;7;32;ARG;Argentina;0.9378531;0.7627119;323668.9;244444.3;0.7544768;0.6135806;0.4266353;0.3222075;0.9414893;0.8082192;0.8028857;0.4088103;0.0927339;0.0797075;0.0157496;0.0151195
2006;7;32;ARG;Argentina;0.9322034;0.8135593;268973.6;188950.5;0.7605439;0.6637474;0.4075997;0.2863337;0.9365079;0.8428571;0.7404101;0.4709252;0.0927255;0.0847038;0.0140477;0.0129325
2005;7;32;ARG;Argentina;0.920904;0.7062147;234251.8;159589.8;0.7503222;0.5754005;0.4081089;0.2780341;0.9267015;0.7729257;0.7768353;0.5145719;0.0922248;0.0764217;0.0143425;0.0128058
2004;7;32;ARG;Argentina;0.9378531;0.7627119;201510.9;123055.8;0.7823178;0.6362222;0.3962216;0.241959;0.9414893;0.8082192;0.679265;0.5118237;0.0945211;0.0819894;0.013221;0.0110822
2003;7;32;ARG;Argentina;0.9152542;0.7231638;171929.3;77748.75;0.7662473;0.6054299;0.414152;0.1872851;0.921875;0.7831858;0.7360559;0.450692;0.0935832;0.0791695;0.0137226;0.0081762
2002;7;32;ARG;Argentina;0.9096045;0.7062147;151019;50133.36;0.7729608;0.6001248;0.4234956;0.1405866;0.9170985;0.7729257;0.7002482;0.4334778;0.0943886;0.0792713;0.0122555;0.0066448
2001;7;32;ARG;Argentina;0.8813559;0.7288136;155444;112982.3;0.7584966;0.6272184;0.4527764;0.3290942;0.8939394;0.7866667;0.6506477;0.4041128;0.0929712;0.081241;0.0118161;0.0146458
2000;7;32;ARG;Argentina;0.8813559;0.7288136;152323.8;140279.9;0.7731575;0.6393418;0.4301021;0.3960949;0.8939394;0.7866667;0.5892214;0.4300948;0.0945777;0.0825698;0.0109708;0.017151
1999;7;32;ARG;Argentina;0.8587571;0.7344633;135657.6;143811.7;0.7817724;0.6686211;0.4316342;0.4575789;0.8762376;0.7901786;0.7527718;0.4605216;0.0952134;0.085296;0.0111964;0.020366
1998;7;32;ARG;Argentina;0.8757062;0.740113;156742.6;176814.3;0.8102881;0.684824;0.5171245;0.5833452;0.8894472;0.793722;0.7249965;0.4430579;0.0969264;0.086206;0.0121689;0.0274154
1997;7;32;ARG;Argentina;0.8474576;0.8022599;157809;169323.1;0.8016247;0.7588713;0.5162842;0.5539535;0.8676471;0.8349057;0.7383543;0.4409232;0.0964394;0.0919135;0.0121018;0.0266376
1996;7;32;ARG;Argentina;0.8418079;0.7853107;141809.9;134107.1;0.8341731;0.7781883;0.4815337;0.4553779;0.8634146;0.8232558;0.7053765;0.4193367;0.0982311;0.0939047;0.0119823;0.0219037
1995;7;32;ARG;Argentina;0.819209;0.7344633;129890.4;113947.1;0.8651551;0.7756563;0.466294;0.4090589;0.84689;0.7901786;0.5535608;0.3722077;0.1009538;0.0925118;0.0113915;0.0199448
2010;8;51;ARM;Armenia;0.5310735;0.7175141;6092.542;20861.99;0.4318662;0.5834788;0.0073605;0.0252037;0.6807692;0.7797357;0.1951559;0.2784869;0.0596028;0.0759893;0.0002786;0.0008128
2009;8;51;ARM;Armenia;0.5367231;0.7118644;4168.959;17971.31;0.4455492;0.5909389;0.0061724;0.0266078;0.6833977;0.7763158;0.1724615;0.3539824;0.0600499;0.0767745;0.0002764;0.0008922
2008;8;51;ARM;Armenia;0.5310735;0.7683616;6735.951;23954.84;0.424974;0.614856;0.0075968;0.0270164;0.6807692;0.8119266;0.2268094;0.2985719;0.0593149;0.0793349;0.0002974;0.0009219
2007;8;51;ARM;Armenia;0.5762712;0.7344633;7777.557;18172.09;0.4635942;0.5908554;0.0102518;0.023953;0.702381;0.7901786;0.2374456;0.2833685;0.0626533;0.0770585;0.0003075;0.0006986
2006;8;51;ARM;Armenia;0.5480226;0.6384181;6439.244;12806.98;0.4471076;0.5208573;0.009758;0.0194076;0.6887159;0.7344398;0.2044515;0.2702487;0.0612883;0.0694523;0.0003199;0.0005072
2005;8;51;ARM;Armenia;0.5084746;0.5932204;5743.422;10984.08;0.4142883;0.4833364;0.0100061;0.0191362;0.6704546;0.7108434;0.2395947;0.2777943;0.0562301;0.0644909;0.000343;0.0005302
2004;8;51;ARM;Armenia;0.5084746;0.5480226;4373.004;8345.883;0.4241482;0.4571375;0.0085984;0.0164101;0.6704546;0.6887159;0.1908488;0.2452279;0.0590556;0.062217;0.0003066;0.0004727
2003;8;51;ARM;Armenia;0.4915254;0.5480226;4544.452;8109.977;0.4115032;0.4588024;0.0109469;0.0195357;0.6629214;0.6887159;0.2759464;0.2612998;0.0574664;0.0615604;0.000329;0.0006559
2002;8;51;ARM;Armenia;0.4519774;0.519774;2953.751;5912.298;0.3840799;0.4416919;0.0082831;0.0165796;0.6459854;0.6755725;0.2203444;0.2584871;0.0528953;0.0594367;0.0002346;0.0004886
2001;8;51;ARM;Armenia;0.4689265;0.4519774;2100.05;5113.167;0.4035591;0.3889726;0.006117;0.0148936;0.6531366;0.6459854;0.1540661;0.2369341;0.0565839;0.0535005;0.000181;0.0004006
2000;8;51;ARM;Armenia;0.440678;0.440678;1874.112;4992.925;0.3865788;0.3865788;0.0052918;0.014098;0.6413044;0.6413044;0.1759873;0.1973058;0.0543551;0.0521493;0.0001376;0.0004098
1999;8;51;ARM;Armenia;0.3559322;0.4576271;1445.151;4598.275;0.3240241;0.4166024;0.0045982;0.0146308;0.6082474;0.6483517;0.2189642;0.2038673;0.0466445;0.0567031;0.0001133;0.0004375
1998;8;51;ARM;Armenia;0.2881356;0.3276836;1095.25;2586.124;0.2666109;0.3032046;0.0036134;0.0085321;0.5841584;0.597973;0.1685862;0.2267921;0.039269;0.0442828;0.0000783;0.0002117
1997;8;51;ARM;Armenia;0.3276836;0.4180791;1433.861;4603.872;0.3099615;0.3954681;0.004691;0.0150619;0.597973;0.6321428;0.1481888;0.2716545;0.0430059;0.0545765;0.0000698;0.0004694
