all_codes,country_code_2,country_code_1,log_normalized_n_events_all,log_normalized_mean_imports_dollars,centroid_dist_meters,wals_euclidean_dist,asjp_dist,country_name_1,country_name_2,cont_order_1,cont_order_2
ARTW,AR,TW,-17.324769982870315,-23.188802872912667,18823014.7824595,190.07812831305262,0.8645805473834359,"Taiwan, Province of China",Argentina,3,2
ARUS,AR,US,-13.978289574604197,-23.064634401477615,8954777.924575156,143.3610265111319,0.8321298029776233,United States of America,Argentina,2,2
ARVN,AR,VN,-16.66173245941591,-23.350895606414984,17890502.635533094,182.38598249308777,0.882767228314166,Viet Nam,Argentina,3,2
ARZA,AR,ZA,-15.752271315430956,-22.865863122494567,8211357.4301817035,143.3610265111319,0.8321298029776233,South Africa,Argentina,1,2
ATAU,AT,AU,-14.318406848547996,-22.64142257332256,14392229.709835364,150.1034955562486,0.6117500222875992,Australia,Austria,5,4
ATBA,AT,BA,-13.778894848839798,-20.585232640863474,489548.5037812242,NA,0.8200053490238032,Bosnia and Herzegovina,Austria,4,4
ATBE,AT,BE,-13.591843019392716,-20.206402973877708,783305.8646434498,NA,0.5153784434340732,Belgium,Austria,4,4
ATBG,AT,BG,-12.817634063208923,-21.409346883161408,1033471.4621679276,100.25135732772104,0.8210751537844343,Bulgaria,Austria,4,4
ATBH,AT,BH,-14.173401062809408,-24.070426155377252,4021209.674713404,26.158017745560464,NA,Bahrain,Austria,3,4
ATBR,AT,BR,-18.483305068559183,-23.21796375346588,9259646.853687864,67.16845004095326,0.8338236605152893,Brazil,Austria,2,4
ATBY,AT,BY,-13.675440227566227,-22.024821033817787,1217956.5236870158,130.37005612932754,0.810555406971561,Belarus,Austria,4,4
ATCA,AT,CA,-16.901206608383035,-22.229544321601942,6496382.6283984585,150.1034955562486,0.6117500222875992,Canada,Austria,2,4
ATCH,AT,CH,-14.690227822557043,-19.23440656109808,405261.7167186355,0,0,Switzerland,Austria,4,4
ATCZ,AT,CZ,-12.633019228169621,-18.363366386858022,295719.93371485936,NA,0.8283854863154141,Czech Republic,Austria,4,4
ATDE,AT,DE,-12.902800381338814,-18.947548200932705,507091.80970704334,0,0,Germany,Austria,4,4
ATDZ,AT,DZ,-15.61158810751663,-21.959014000464045,2331962.573024887,26.158017745560464,NA,Algeria,Austria,1,4
ATEE,AT,EE,-15.418021534477164,-22.804257430176577,1543915.7168685626,NA,0.8632432914326469,Estonia,Austria,4,4
ATEG,AT,EG,-15.213743227220872,-23.434053509379588,2690845.9052090687,26.158017745560464,NA,Egypt,Austria,1,4
ATES,AT,ES,-16.063493097534465,-21.294707639171794,1611689.265562352,160.22523713848832,0.8289203886957297,Spain,Austria,4,4
ATFI,AT,FI,-15.771545845789566,-21.115874338975953,2009886.2587604236,80.72117929905873,0.5778728715342782,Finland,Austria,4,4
ATFR,AT,FR,-13.530748431650785,-20.782093199569957,877586.0979745368,NA,0.8534367477935277,France,Austria,4,4
ATGB,AT,GB,-13.771857971182694,-21.083425626652687,1424932.8714307158,150.1034955562486,0.6117500222875992,United Kingdom of Great Britain and Northern Ireland,Austria,4,4
ATGR,AT,GR,-11.827077665825106,-21.713526348292522,1162792.5796185392,NA,0.8625300882588928,Greece,Austria,4,4
ATHR,AT,HR,-12.263305868399813,-19.642248821009115,293216.4079352873,NA,0.8200053490238032,Croatia,Austria,4,4
ATHU,AT,HU,-12.036205446611785,-19.3969621918635,505757.17778564815,169.5971123368889,0.8875813497370063,Hungary,Austria,4,4
ATID,AT,ID,-17.091368516247055,-23.750444328290218,11681306.84946956,138.87528931623697,0.8983685477400374,Indonesia,Austria,3,4
ATIE,AT,IE,-15.72932946156317,-21.63187043181486,1638955.2856039815,150.1034955562486,0.6117500222875992,Ireland,Austria,4,4
ATIL,AT,IL,-14.840049472170753,-22.19057762958274,2533229.0893276813,101.87597425797114,NA,Israel,Austria,3,4
ATIN,AT,IN,-18.182075408889702,-24.07154260776689,6425817.071518934,121.04028125031165,0.8378354283676562,India,Austria,3,4
ATIQ,AT,IQ,-14.642351721055286,-22.37509432758436,3028376.720386816,26.158017745560464,NA,Iraq,Austria,3,4
ATIT,AT,IT,-14.242775019810539,-19.88824601545579,502473.77024181036,105.33957286180707,0.769902826067576,Italy,Austria,4,4
ATJO,AT,JO,-13.927833618752775,-23.740158007386494,2652364.4524464663,26.158017745560464,NA,Jordan,Austria,3,4
ATKH,AT,KH,-15.622745741528094,-25.568672718525853,9082902.7822458,89.44574491044715,0.8711776767406615,Cambodia,Austria,3,4
ATKR,AT,KR,-16.485871802841007,-22.174382605731193,8597896.890443478,135.20870887329363,0.9332263528572703,Republic of Korea,Austria,3,4
ATKW,AT,KW,-14.867562544471713,-22.965704358529564,3554436.073607283,26.158017745560464,NA,Kuwait,Austria,3,4
ATKZ,AT,KZ,-14.332169335759493,-20.712480517209595,4010834.748073441,25.342422092968192,0.8846393866452706,Kazakhstan,Austria,3,4
ATLT,AT,LT,-14.652756610635421,-22.329782924717907,1210869.5229153032,62.66510596697005,0.8323972541677811,Lithuania,Austria,4,4
ATLV,AT,LV,-12.849077654620572,-22.630862645550646,1334976.2548967428,104.142004289147,NA,Latvia,Austria,4,4
ATMK,AT,MK,-11.95738504362105,-22.08271567350162,919322.2531986114,11.360185653732751,0.7929036284211465,The former Yugoslav Republic of Macedonia,Austria,4,4
ATNL,AT,NL,-15.449190405839298,-20.143666115414256,790543.3894086829,NA,0.5153784434340732,Netherlands,Austria,4,4
ATNO,AT,NO,-15.75232511006302,-21.66589418221838,1646191.455534113,55.2410714909589,0.677543015066417,Norway,Austria,4,4
ATPH,AT,PH,-17.819783848307853,-23.50758012574541,10311920.628332807,150.1034955562486,0.6117500222875992,Philippines,Austria,3,4
ATPK,AT,PK,-16.849267623111576,-23.887609691821602,5160290.527664722,34.03496717388132,0.838102879557814,Pakistan,Austria,3,4
ATPL,AT,PL,-15.591050426931377,-20.765930812430405,706950.6889366892,59.552392496756084,0.8603013283409111,Poland,Austria,4,4
ATRO,AT,RO,-14.925125428955269,-20.809162529237437,902624.0188464422,20.134196413550395,0.786039047873763,Romania,Austria,4,4
ATRS,AT,RS,-13.081689351734124,NA,701936.9783844529,NA,0.8200053490238032,Serbia,Austria,4,4
ATRU,AT,RU,-13.453484409392477,-21.79715202572697,5450930.948780789,145.1532214353731,0.8254435232236783,Russian Federation,Austria,4,4
ATSA,AT,SA,-13.855221974878594,-22.654790635812095,3733201.5839480953,26.158017745560464,NA,Saudi Arabia,Austria,3,4
ATSE,AT,SE,-13.787065923228587,-20.565503253019042,1636073.2289421102,80.72117929905873,0.5778728715342782,Sweden,Austria,4,4
ATSI,AT,SI,-12.229729261999548,-18.72254027248184,184564.02608329713,10.048490232166595,0.800124810555407,Slovenia,Austria,4,4
ATSK,AT,SK,-12.965927654510121,-18.54253759177663,482560.51329021493,NA,0.8339128109120086,Slovakia,Austria,4,4
ATTR,AT,TR,-14.059647490829283,-21.834867258674755,1969370.596765151,116.94910755988381,0.8769724525274137,Turkey,Austria,3,4
ATTW,AT,TW,-16.590617232499827,-22.136394216793747,9308153.728538832,123.89013320546847,0.9194971917625033,"Taiwan, Province of China",Austria,3,4
ATUA,AT,UA,-13.875570709909328,-20.72187111172753,1394678.6684372183,35.47989623890871,0.8416688954265846,Ukraine,Austria,4,4
ATUS,AT,US,-13.917614005330593,-22.565987446699694,8230481.042202774,150.1034955562486,0.6117500222875992,United States of America,Austria,2,4
ATVN,AT,VN,-17.064084835516617,-22.73211530909019,9034776.234559737,135.80912206980526,0.8467504680395828,Viet Nam,Austria,3,4
ATZA,AT,ZA,-16.15637221662152,-22.226187822788766,8701939.362395316,150.1034955562486,0.6117500222875992,South Africa,Austria,1,4
AUBE,AU,BE,-14.348341880481435,-21.640012906639836,14992917.632273003,NA,0.5849157528751002,Belgium,Australia,4,5
AUBH,AU,BH,-16.304476748322678,-22.496612785912966,10703737.760017518,156.59282004870923,NA,Bahrain,Australia,3,5
AUBR,AU,BR,-18.547361085378476,-23.248797661251935,15992993.250886671,142.1286442918744,0.8577159668360523,Brazil,Australia,2,5
AUBY,AU,BY,-16.598689969103052,-25.755169461520758,13336164.551999165,194.1888537781997,0.8062761879290362,Belarus,Australia,4,5
AUCA,AU,CA,-14.11217858897445,-21.784036716232258,14541710.924190732,0,0,Canada,Australia,2,5
AUCH,AU,CH,-13.238054335282206,-21.899180839791136,14797362.078936048,150.1034955562486,0.6117500222875992,Switzerland,Australia,4,5
AUCL,AU,CL,-15.431409403546606,-23.13586998759203,13315274.450769745,143.3610265111319,0.8321298029776233,Chile,Australia,2,5
AUCO,AU,CO,-16.264901451650505,-25.83900142287218,16321657.379332969,143.3610265111319,0.8321298029776233,Colombia,Australia,2,5
AUCZ,AU,CZ,-15.021357285399047,-22.500912505425376,14246370.713373277,NA,0.8008380137291611,Czech Republic,Australia,4,5
AUDE,AU,DE,-14.001752926074008,-21.44367243729526,14534386.265388748,150.1034955562486,0.6117500222875992,Germany,Australia,4,5
AUDK,AU,DK,-14.856935620612662,-22.513089770919073,14457125.471178694,208.1559704949568,0.5957921012748506,Denmark,Australia,4,5
AUDZ,AU,DZ,-17.25421532690045,-24.11314085003261,15274260.34311812,156.59282004870923,NA,Algeria,Australia,1,5
AUEE,AU,EE,-15.607954542858016,-26.04019377325385,13463604.410844943,NA,0.9048765267005437,Estonia,Australia,4,5
AUEG,AU,EG,-14.264506416766938,-23.254185513307927,12649505.526675351,156.59282004870923,NA,Egypt,Australia,1,5
AUES,AU,ES,-15.511791407561788,-22.466174355953463,15886913.161573766,143.3610265111319,0.8321298029776233,Spain,Australia,4,5
AUFR,AU,FR,-12.712854192247956,-21.816589314230416,15269701.68580345,NA,0.8161718819648747,France,Australia,4,5
AUGB,AU,GB,-12.696072796364929,-20.81936557297003,15369769.582945516,0,0,United Kingdom of Great Britain and Northern Ireland,Australia,4,5
AUGR,AU,GR,-14.929956138913871,-23.999470052263668,13665929.856382502,NA,0.85557635731479,Greece,Australia,4,5
AUHK,AU,HK,-14.728198808688287,NA,NA,0,0,Hong Kong,Australia,3,5
AUHR,AU,HR,-14.554361018623526,-24.663673309066446,14238349.196714062,NA,0.7687438709102256,Croatia,Australia,4,5
AUHU,AU,HU,-16.608163974873268,-23.90056027029756,13889491.421299927,196.02334345368018,0.8892752072746724,Hungary,Australia,4,5
AUID,AU,ID,-12.480726478453377,-21.156615804497502,2743169.6023220522,178.79355121436967,0.8754568957831862,Indonesia,Australia,3,5
AUIE,AU,IE,-13.70090742476441,-22.09271394365806,15655379.049808748,0,0,Ireland,Australia,4,5
AUIL,AU,IL,-14.845140624439377,-22.56834321906728,12356163.881028369,155.84136779784353,NA,Israel,Australia,3,5
AUIN,AU,IN,-15.37106650094768,-22.039638577040748,8030119.185420095,142.65460625566817,0.8573593652491753,India,Australia,3,5
AUIQ,AU,IQ,-11.833591794663835,-23.408729410681325,11587207.211329458,156.59282004870923,NA,Iraq,Australia,3,5
AUIT,AU,IT,-14.642599415213967,-21.55434318982784,14458004.433030665,130.6380977293918,0.8045823303913703,Italy,Australia,4,5
AUJO,AU,JO,-14.35487757338125,-24.265270110017894,12225956.942682061,156.59282004870923,NA,Jordan,Australia,3,5
AUJP,AU,JP,-13.071375286228683,-19.930319819463296,6797814.447949647,158.12058072706304,0.8913256663992155,Japan,Australia,3,5
AUKH,AU,KH,-12.840150504583546,-25.233501083940812,5338442.016648092,171.81279788157724,0.8977444949630026,Cambodia,Australia,3,5
AUKR,AU,KR,-13.002720418718507,-20.0280503148622,6946456.875312087,151.05295046335434,0.8822323259338504,Republic of Korea,Australia,3,5
AUKW,AU,KW,-14.111299731516567,-22.078649323865715,11110022.115368681,156.59282004870923,NA,Kuwait,Australia,3,5
AULT,AU,LT,-15.450048687711531,-25.98746275076168,13596545.72079226,156.59440164317573,0.8518320406525809,Lithuania,Australia,4,5
AULV,AU,LV,-14.38478239219455,NA,13531032.52897341,147.3391846908438,NA,Latvia,Australia,4,5
AUMX,AU,MX,-15.79297351851567,-23.012639518279695,14280031.832352873,143.3610265111319,0.8321298029776233,Mexico,Australia,2,5
AUMY,AU,MY,-13.258187929051335,-20.179439712287945,3907999.522136072,NA,NA,Malaysia,Australia,3,5
AUNL,AU,NL,-13.584811485449805,-21.760129736820325,14826163.87952234,NA,0.5849157528751002,Netherlands,Australia,4,5
AUNO,AU,NO,-16.453091905997287,-23.197000400379327,14261343.883243727,151.996245195928,0.6033698849959883,Norway,Australia,4,5
AUNZ,AU,NZ,-11.289392389271834,-19.998443534942062,4037876.903303548,0,0,New Zealand,Australia,5,5
AUOM,AU,OM,-16.381918466607317,-22.84522292203213,9862706.58718953,156.59282004870923,NA,Oman,Australia,3,5
AUPE,AU,PE,-17.096346827334493,-24.555042799157967,14890352.759284766,143.3610265111319,0.8321298029776233,Peru,Australia,2,5
AUPH,AU,PH,-13.397327067278047,-21.987756885209066,4459393.453476857,0,0,Philippines,Australia,3,5
AUPK,AU,PK,-15.998576984465766,-22.97498399515449,9248972.791564014,152.64404428355306,0.848176874387091,Pakistan,Australia,3,5
AUPL,AU,PL,-17.23835858051535,-23.720641899401144,13878129.486053169,149.72593886723124,0.8471070696264598,Poland,Australia,4,5
AUPT,AU,PT,-15.53757223468788,-24.112048033786284,16233185.048005568,142.1286442918744,0.8577159668360523,Portugal,Australia,4,5
AUQA,AU,QA,-15.422779359577536,-22.405961448240294,10612052.642821962,156.59282004870923,NA,Qatar,Australia,3,5
AURS,AU,RS,-14.816403366794217,NA,13800167.93810345,NA,0.7687438709102256,Serbia,Australia,4,5
AURU,AU,RU,-14.578709364484313,-23.535247333498422,9985563.5521149,118.52280309371879,0.7918338236605152,Russian Federation,Australia,4,5
AUSA,AU,SA,-13.547895090639237,-22.12868187376647,11164074.229802266,156.59282004870923,NA,Saudi Arabia,Australia,3,5
AUSE,AU,SE,-12.328555422549929,-21.716100705792627,14011347.515209863,139.79488230792103,0.5828652937505572,Sweden,Australia,4,5
AUSG,AU,SG,-12.375304952297995,-19.606143692116657,4463894.993735214,0,0,Singapore,Australia,3,5
AUTH,AU,TH,-13.880718917210201,-20.803407792844265,5852598.035863764,196.374499309317,0.8666310065079789,Thailand,Australia,3,5
AUTR,AU,TR,-13.613788744048403,-23.40879740387679,12571089.448678102,169.3507760323158,0.905233128287421,Turkey,Australia,3,5
AUTW,AU,TW,-15.450532609580028,-20.415234681029258,5659670.947965838,184.7160336687225,0.9096906481233842,"Taiwan, Province of China",Australia,3,5
AUUA,AU,UA,-14.764796823511418,-23.405531988033367,13015203.306640223,148.8808647331636,0.8524560934296158,Ukraine,Australia,4,5
AUUS,AU,US,-13.017932848023348,-21.555622729726906,14822193.890350845,0,0,United States of America,Australia,2,5
AUVN,AU,VN,-13.26533156002917,-21.44243800683936,5448646.098545735,188.3424006882271,0.9254702683426941,Viet Nam,Australia,3,5
AUZA,AU,ZA,-15.207402080970935,-22.04138414978136,10300916.850212919,0,0,South Africa,Australia,1,5
BABE,BA,BE,-14.744456079156675,-22.89334481609106,1268614.4443735094,NA,0.8457698136756708,Belgium,Bosnia and Herzegovina,4,4
BABG,BA,BG,-13.653348849723262,-22.07837620283874,593808.618516013,NA,0.42034412053133635,Bulgaria,Bosnia and Herzegovina,4,4
BABY,BA,BY,-15.72184377042627,-24.741109985080264,1225660.777011767,NA,0.4916644379067487,Belarus,Bosnia and Herzegovina,4,4
BACH,BA,CH,-12.610611074403733,-22.89884735162373,823750.2526500169,NA,0.8200053490238032,Switzerland,Bosnia and Herzegovina,4,4
